Commune,Masculin,Féminin,Total,   Taux,Commune_ar
Bouira,44950,43851,88801,1.7,اﻟﺒﻮﻳﺮة
El Asnam,6615,6597,13213,0.9,اﻷﺻﻨﺎم
Guerrouma,7398,7172,14570,0.5,ﻗﺮوﻣﺔ
Souk El Khemis,467,3935,83,0.0,ﺳﻮق-اﻟﺨﻤﻴﺲ
Kadiria,11268,1160,22327,2.3,اﻟﻘﺎدرﻳﺔ
Hanif,4876,4810,9685,0.6,اﻟﺤﺎﻧﻴﻒ
Dirah,6864,6346,13209,0.6,دﻳﺮة
Ait Laaziz,7450,6980,14430,0.3,ﺁﻳﺖ-ﻟﻌﺰﻳﺰ
Taghzout,6636,6567,13203,1.0,ﺗﺎﻏﺰوت
Raouraoua,4278,4172,8450,1.6,راوراوة
Mezdour,5567,5480,1147,0.3,ﻣﺰدور
Haizer,8937,8782,17719,1.4,اﻟﺤﻴﺰر
Lakhdaria,30719,2927,59746,1.3,اﻷﺧﻀﺮﻳﺔ
Maala,2650,2646,5296,0.9,اﻟﻤﻌﻠﻤﺔ
El Hachimia,8791,8530,17322,2.6,اﻟﻬﺎﺷﻤﻴﺔ
Aomar,10508,1024,20532,0.0,أوﻋﻤﺮ
Chorfa,8237,7936,16173,0.9,اﻟﺸﺮﻓﺎء
Bordj Oukhriss,5331,5137,10467,1.6,ﺑﺮج-أوﺧﺮﻳﺺ
El Adjiba,6325,6162,12486,0.8,اﻟﻌﺠﻴﺒﺔ
El Hakimia,1149,163,2212,0.0,اﻟﺤﺎآﻤﻴﺔ
El Khebouzia,391,340,6132,1.0,اﻟﺨﺒﻮزﻳﺔ
Ahl El Ksar,6703,6651,13354,0.8,أهﻞ_اﻟﻘﺼﺮ
Bouderbala,8846,8743,17589,0.5,ﺑﻮدرﺑﺎﻟﺔ
Z'barbar,1850,1918,3768,-1.8,زﺑﺮﺑﺮ
Ain El Hadjar,4659,4601,9260,1.5,ﻋﻴﻦ-اﻟﺤﺠﺎر
Djebahia,7971,7622,15592,0.7,ﺟﺒﺎﺣﻴﺔ
Aghbalou,9945,9571,19517,0.0,أﻏﺒﺎﻟﻮ
Taguedit,5350,5212,10562,0.3,ﺗﺎﻗﺪﻳﺖ
Ain Turk,499,3750,7849,1.4,ﻋﻴﻦ-اﻟﺘﺮك
Saharidj,4270,4252,8522,0.7,اﻟﺼﻬﺎرﻳﺞ
Dechmia,3802,3702,7504,0.1,اﻟﺪﺷﻤﻴﺔ
Ridane,1692,1576,3268,0.8,رﻳﺪان
Bechloul,5910,5865,11775,1.3,ﺑﺸﻠﻮل
Boukram,2778,2868,5647,-1.1,ﺑﻮآﺮوم
Ain Bessam,21592,2143,42635,1.5,ﻋﻴﻦ-ﺑﺴﺎم
Bir Ghbalou,5646,5370,1116,1.9,ﺑﺌﺮ-ﻏﺒﺎﻟﻮ
M'chedallah,12426,11981,24406,1.3,ﻣﺸﺪااﷲ
Sour El Ghozlane,25360,24760,50120,1.8,ﺻﻮر-اﻟﻐﺰﻻن
Maamora,1858,1794,3652,0.2,اﻟﻤﻌﻤﻮرة
Ouled Rached,4721,4590,9311,0.9,أوﻻد-راﺷﺪ
Ain Laloui,3557,3182,6738,1.4,ﻋﻴﻦ-اﻟﻌﻠﻮى
Hadjera Zerga,1887,1786,3672,1.4,اﻟﺤﺠﺮة-اﻟﺰرﻗﺎء
Ath Mansour,5117,4959,1077,0.8,ﺁث-ﻣﻨﺼﻮر
El Mokrani,1942,219,3961,-2.1,اﻟﻤﻘﺮاﻧﻲ
Oued El Berdi,5510,5257,10767,1.6,وادى-اﻟﺒﺮدي
